kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops,speedup_vs_avg,speedup_vs_worst,configs_tested,worst_exec_time,avg_exec_time
gesummv_kernel,2048,16,2,1,32,0.7376,geforce_gtx_1080_ti,1,1.5555555555555556,0,8,1,14,9,41.7192725280188,569.9990509761388,96,420.4313,30.772135416666668
gesummv_kernel,4096,32,1,1,32,1.4947,nvidia_geforce_rtx_2070_super,1,1.5555555555555556,0,8,1,14,9,96.54200348477667,1231.1842510202716,46,1840.2511,144.30133260869567
gesummv_kernel,8192,32,1,1,32,5.5953,nvidia_geforce_rtx_2070_super,1,1.5555555555555556,0,8,1,14,9,109.10503100816757,1410.826157668043,45,7893.9956,610.47538
gesummv_kernel,16384,16,2,1,32,25.5433,nvidia_geforce_rtx_2070_super,1,1.5555555555555556,0,8,1,14,9,100.2162978158656,1306.9197402058464,45,33383.043,2559.8549599999997
gramschmidt_kernel1,32,1,32,1,32,666.8715,tesla_c2075,1,4.0,0,2,1,12,3,1.0,1.0,1,666.8715,666.8715
gramschmidt_kernel1,64,4,32,1,128,0.2268,geforce_gtx_1080_ti,1,4.0,0,2,1,12,3,1.2037605962337148,1.7663139329805997,62,0.4006,0.2730129032258065
gramschmidt_kernel1,128,16,8,1,128,0.5487,geforce_gtx_1080_ti,1,4.0,0,2,1,12,3,1.2467183506002535,2.121013304173501,78,1.1638,0.6840743589743591
gramschmidt_kernel1,256,64,2,1,128,1.502,geforce_gtx_1080_ti,1,4.0,0,2,1,12,3,1.2266740642106821,2.034820239680426,90,3.0563,1.8424644444444445
gramschmidt_kernel1,512,8,8,1,64,4.5079,nvidia_geforce_rtx_2070_super,1,4.0,0,2,1,12,3,1.2747641215806629,2.4424676678719583,98,11.0104,5.746509183673471
gramschmidt_kernel1,1024,1,32,1,32,15.4053,nvidia_geforce_rtx_2070_super,1,4.0,0,2,1,12,3,1.3596510481241306,2.8197113980253548,96,43.4385,20.94583229166667
gramschmidt_kernel1,2048,8,8,1,64,71.6424,nvidia_geforce_rtx_2070_super,1,4.0,0,2,1,12,3,1.3105209141746603,2.410506906524628,96,172.6945,93.88886354166668
gramschmidt_kernel2,32,1,32,1,32,15.8315,tesla_c2075,1,3.0,0,2,1,9,3,1.0,1.0,1,15.8315,15.8315
gramschmidt_kernel2,64,8,4,1,32,0.1787,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,1.2225120493889563,1.9888080581980974,62,0.3554,0.21846290322580647
gramschmidt_kernel2,128,16,8,1,128,0.3558,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,1.2793992591631715,1.9637436762225968,78,0.6987,0.4552102564102564
gramschmidt_kernel2,256,64,2,1,128,0.7148,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,1.3156112043772927,2.1298265249020707,90,1.5224,0.9403988888888888
gramschmidt_kernel2,512,64,1,1,64,1.4665,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,1.4521935470403642,3.1607228094101605,98,4.6352,2.129641836734694
gramschmidt_kernel2,1024,64,1,1,64,2.9359,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,1.7666015957627983,5.157192002452399,96,15.141,5.186565625
gramschmidt_kernel2,2048,128,1,1,128,6.3621,geforce_gtx_1080_ti,1,3.0,0,2,1,9,3,2.2030579525628333,8.562911617233302,96,54.4781,14.016075
gramschmidt_kernel3,32,1,32,1,32,4701.8535,tesla_c2075,1,3.7142857142857144,0,6,1,26,7,1.0,1.0,1,4701.8535,4701.8535
gramschmidt_kernel3,64,4,8,1,32,1.3062,geforce_gtx_1080_ti,1,3.7142857142857144,0,6,1,26,7,1.116713836245005,1.5189863726841217,62,1.9841,1.4586516129032256
gramschmidt_kernel3,128,8,4,1,32,4.9268,geforce_gtx_1080_ti,1,3.7142857142857144,0,6,1,26,7,1.244763335227734,2.573800438418446,78,12.6806,6.1327
gramschmidt_kernel3,256,16,16,1,256,17.7692,nvidia_geforce_rtx_2070_super,1,3.7142857142857144,0,6,1,26,7,1.85244961944138,11.135059541228642,90,197.8611,32.91654777777777
gramschmidt_kernel3,512,8,8,1,64,68.3893,nvidia_geforce_rtx_2070_super,1,3.7142857142857144,0,6,1,26,7,3.856783121909183,47.14465420760264,98,3224.1899,263.7626979591837
gramschmidt_kernel3,1024,16,8,1,128,319.4493,nvidia_geforce_rtx_2070_super,1,3.7142857142857144,0,6,1,26,7,5.818570945765104,76.5981168216678,96,24469.2148,1858.7384156250002
gramschmidt_kernel3,2048,128,1,1,128,1944.9541,geforce_gtx_1080_ti,1,3.7142857142857144,0,6,1,26,7,7.274574897101686,108.8830322525349,96,211772.5,14148.714271875002
mean_kernel,32,4,8,1,32,0.023,tesla_c2075,1,1.75,0,3,1,7,4,1.0555900621118013,1.1869565217391305,42,0.0273,0.02427857142857143
mean_kernel,64,4,16,1,64,0.0195,geforce_gtx_1080_ti,1,1.75,0,3,1,7,4,2.1958919216983737,8.04102564102564,186,0.1568,0.042819892473118286
mean_kernel,128,16,4,1,64,0.0278,geforce_gtx_1080_ti,1,1.75,0,3,1,7,4,3.0103934551473865,11.06474820143885,226,0.3076,0.08368893805309734
mean_kernel,256,8,16,1,128,0.0449,geforce_gtx_1080_ti,1,1.75,0,3,1,7,4,3.9006434050977474,33.650334075723826,180,1.5109,0.17513888888888887
mean_kernel,512,8,4,1,32,0.0743,nvidia_geforce_rtx_2070_super,1,1.75,0,3,1,7,4,4.715427321668909,46.594885598923284,176,3.462,0.35035625
mean_kernel,1024,4,16,1,64,0.256,nvidia_geforce_rtx_2070_super,1,1.75,0,3,1,7,4,4.04371408045977,41.2234375,174,10.5532,1.0351908045977012
mean_kernel,2048,32,1,1,32,0.5174,geforce_gtx_1080_ti,1,1.75,0,3,1,7,4,3.3948793262085077,29.233861615771165,142,15.1256,1.7565105633802818
